,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,aad,N,3,"['a', 'a', 'd']",2,0.0
1,aaf,N,3,"['a', 'a', 'f']",2,0.0
2,aagst,N,5,"['a', 'ag', 's', 't']",3,0.2
3,aakbeest,N,8,"['a', 'a', 'k', 'be', 'est']",4,0.38
4,aakje,N,5,"['a', 'a', 'k', 'je']",3,0.2
5,aaks,N,4,"['a', 'a', 'k', 's']",3,0.0
6,aakst,N,5,"['a', 'a', 'k', 's', 't']",4,0.0
7,aakwes,N,6,"['a', 'a', 'k', 'we', 's']",4,0.17
8,aalde,N,5,"['a', 'al', 'de']",2,0.4
9,aalden,N,6,"['a', 'al', 'd', 'en']",3,0.33
10,aalder,N,6,"['a', 'al', 'de', 'r']",3,0.33
11,aalgees,N,7,"['a', 'al', 'ge', 'e', 's']",4,0.29
12,aanbok,N,6,"['aan', 'bo', 'k']",2,0.5
13,aanbol,N,6,"['aan', 'bo', 'l']",2,0.5
14,aand,N,4,"['a', 'and']",1,0.5
15,aandge,N,6,"['a', 'and', 'ge']",2,0.5
16,aangiep,N,7,"['aan', 'g', 'i', 'e', 'p']",4,0.29
17,aankeen,N,7,"['aan', 'k', 'e', 'en']",3,0.43
18,aankeerd,N,8,"['aan', 'k', 'e', 'er', 'd']",4,0.38
19,aankrast,N,8,"['aan', 'k', 'r', 'a', 's', 't']",5,0.25
20,aankruig,N,8,"['aan', 'k', 'r', 'u', 'ig']",4,0.38
21,aannicht,N,8,"['aan', 'n', 'i', 'ch', 't']",4,0.38
22,aannorst,N,8,"['aan', 'n', 'or', 's', 't']",4,0.38
23,aanpijk,N,7,"['aan', 'p', 'ij', 'k']",3,0.43
24,aanplok,N,7,"['aan', 'p', 'lo', 'k']",3,0.43
25,aanpunst,N,8,"['aan', 'p', 'un', 's', 't']",4,0.38
26,aanrof,N,6,"['aan', 'r', 'of']",2,0.5
27,aanrus,N,6,"['aan', 'r', 'u', 's']",3,0.33
28,aans,N,4,"['aan', 's']",1,0.5
29,aanschijk,N,9,"['aan', 's', 'c', 'hij', 'k']",4,0.44
30,aanschuw,N,8,"['aan', 's', 'ch', 'u', 'w']",4,0.38
31,aanstaam,N,8,"['aan', 's', 't', 'a', 'a', 'm']",5,0.25
32,aanveeldt,N,9,"['aan', 've', 'el', 'd', 't']",4,0.44
33,aanweer,N,7,"['aan', 'we', 'er']",2,0.57
34,aanwid,N,6,"['aan', 'w', 'i', 'd']",3,0.33
35,aarbracht,N,9,"['a', 'ar', 'b', 'r', 'acht']",4,0.44
36,aarbrang,N,8,"['a', 'ar', 'bra', 'n', 'g']",4,0.38
37,aardgoo,N,7,"['a', 'ard', 'go', 'o']",3,0.43
38,aardkil,N,7,"['a', 'ard', 'k', 'il']",3,0.43
39,aardraan,N,8,"['a', 'ard', 'r', 'aan']",3,0.5
40,aardsomst,N,9,"['a', 'ard', 's', 'om', 's', 't']",5,0.33
41,aargrift,N,8,"['a', 'ar', 'g', 'r', 'if', 't']",5,0.25
42,aarhoop,N,7,"['a', 'ar', 'ho', 'op']",3,0.43
43,aarjang,N,7,"['a', 'ar', 'j', 'an', 'g']",4,0.29
44,aarlang,N,7,"['a', 'ar', 'lang']",2,0.57
45,aarnert,N,7,"['a', 'ar', 'n', 'er', 't']",4,0.29
46,aarplag,N,7,"['a', 'ar', 'p', 'la', 'g']",4,0.29
47,aarriens,N,8,"['a', 'ar', 'r', 'i', 'en', 's']",5,0.25
48,aarschaans,N,10,"['a', 'ar', 's', 'cha', 'an', 's']",5,0.4
49,aarschein,N,9,"['a', 'ar', 's', 'che', 'in']",4,0.44
50,aarsien,N,7,"['a', 'ar', 's', 'i', 'en']",4,0.29
51,aarst,N,5,"['a', 'ar', 's', 't']",3,0.2
52,aarstands,N,9,"['a', 'ar', 's', 't', 'and', 's']",5,0.33
53,aartol,N,6,"['a', 'ar', 'to', 'l']",3,0.33
54,aarwel,N,6,"['a', 'ar', 'wel']",2,0.5
55,aarwouw,N,7,"['a', 'ar', 'w', 'ou', 'w']",4,0.29
56,aat,N,3,"['a', 'a', 't']",2,0.0
57,aatslas,N,7,"['a', 'a', 't', 's', 'la', 's']",5,0.14
58,ab,N,2,"['a', 'b']",1,0.0
59,abant,N,5,"['a', 'ban', 't']",2,0.4
60,abbes,N,5,"['a', 'b', 'be', 's']",3,0.2
61,abdent,N,6,"['a', 'b', 'd', 'ent']",3,0.33
62,abert,N,5,"['a', 'be', 'r', 't']",3,0.2
63,abras,N,5,"['a', 'bra', 's']",2,0.4
64,abree,N,5,"['a', 'bre', 'e']",2,0.4
65,absald,N,6,"['a', 'b', 's', 'al', 'd']",4,0.17
66,absept,N,6,"['a', 'b', 's', 'e', 'p', 't']",5,0.0
67,abstrelt,N,8,"['a', 'b', 's', 'tre', 'l', 't']",5,0.25
68,abte,N,4,"['a', 'b', 't', 'e']",3,0.0
69,achterds,N,8,"['acht', 'er', 'd', 's']",3,0.5
70,achtjaan,N,8,"['acht', 'ja', 'an']",2,0.62
71,achts,N,5,"['acht', 's']",1,0.6
72,acool,N,5,"['a', 'co', 'o', 'l']",3,0.2
73,acteept,N,7,"['act', 'e', 'e', 'p', 't']",4,0.29
74,aden,N,4,"['a', 'd', 'en']",2,0.25
75,adgent,N,6,"['a', 'd', 'gen', 't']",3,0.33
76,adhees,N,6,"['a', 'd', 'he', 'e', 's']",4,0.17
77,adim,N,4,"['a', 'd', 'i', 'm']",3,0.0
78,adit,N,4,"['a', 'd', 'it']",2,0.25
79,adooi,N,5,"['ado', 'o', 'i']",2,0.4
80,adrak,N,5,"['a', 'd', 'r', 'a', 'k']",4,0.0
81,adries,N,6,"['a', 'd', 'rie', 's']",3,0.33
82,aduus,N,5,"['a', 'du', 'u', 's']",3,0.2
83,adwel,N,5,"['a', 'd', 'wel']",2,0.4
84,adzie,N,5,"['a', 'd', 'z', 'i', 'e']",4,0.0
85,aeik,N,4,"['a', 'e', 'ik']",2,0.25
86,afbinst,N,7,"['a', 'f', 'b', 'in', 's', 't']",5,0.14
87,afbrenk,N,7,"['a', 'f', 'bre', 'n', 'k']",4,0.29
88,afdrijk,N,7,"['a', 'f', 'd', 'rij', 'k']",4,0.29
89,afdrook,N,7,"['a', 'f', 'd', 'r', 'ook']",4,0.29
90,afes,N,4,"['a', 'f', 'e', 's']",3,0.0
91,afgas,N,5,"['a', 'f', 'ga', 's']",3,0.2
92,afhoen,N,6,"['a', 'f', 'ho', 'en']",3,0.33
93,afhoer,N,6,"['a', 'f', 'ho', 'er']",3,0.33
94,afmoer,N,6,"['a', 'f', 'mo', 'er']",3,0.33
95,afmorst,N,7,"['a', 'f', 'mo', 'r', 's', 't']",5,0.14
96,afschef,N,7,"['a', 'f', 's', 'che', 'f']",4,0.29
97,aftacht,N,7,"['a', 'f', 't', 'acht']",3,0.43
98,aftad,N,5,"['a', 'f', 't', 'a', 'd']",4,0.0
99,aftijn,N,6,"['a', 'f', 't', 'ij', 'n']",4,0.17
100,afuun,N,5,"['a', 'f', 'u', 'un']",3,0.2
101,afwers,N,6,"['a', 'f', 'w', 'er', 's']",4,0.17
102,ag,N,2,['ag'],0,0.5
103,aghu,N,4,"['ag', 'h', 'u']",2,0.25
104,aghu's,N,6,"['ag', 'h', 'u', ""'"", 's']",4,0.17
105,agi,N,3,"['ag', 'i']",1,0.33
106,ahs,N,3,"['a', 'h', 's']",2,0.0
107,aillan,N,6,"['a', 'il', 'la', 'n']",3,0.33
108,ain,N,3,"['a', 'in']",1,0.33
109,ak,N,2,"['a', 'k']",1,0.0
110,ake,N,3,"['a', 'k', 'e']",2,0.0
111,akhums,N,6,"['a', 'k', 'h', 'u', 'm', 's']",5,0.0
112,akind,N,5,"['a', 'k', 'in', 'd']",3,0.2
113,akkeeld,N,7,"['a', 'k', 'k', 'e', 'el', 'd']",5,0.14
114,akkent,N,6,"['a', 'k', 'ken', 't']",3,0.33
115,akloop,N,6,"['a', 'k', 'lo', 'op']",3,0.33
116,akse,N,4,"['a', 'k', 's', 'e']",3,0.0
117,akter,N,5,"['a', 'k', 'ter']",2,0.4
118,akwal,N,5,"['a', 'k', 'w', 'al']",3,0.2
119,alars,N,5,"['al', 'ar', 's']",2,0.4
120,albecht,N,7,"['al', 'b', 'echt']",2,0.57
121,alde,N,4,"['al', 'de']",1,0.5
122,aldenkt,N,7,"['al', 'd', 'en', 'k', 't']",4,0.29
123,alders,N,6,"['al', 'de', 'r', 's']",3,0.33
124,aldes,N,5,"['al', 'de', 's']",2,0.4
125,aleem,N,5,"['al', 'e', 'e', 'm']",3,0.2
126,alerf,N,5,"['al', 'er', 'f']",2,0.4
127,alfaar,N,6,"['al', 'f', 'a', 'ar']",3,0.33
128,alfjaar,N,7,"['al', 'f', 'jaar']",2,0.57
129,algang,N,6,"['al', 'g', 'an', 'g']",3,0.33
130,algel,N,5,"['al', 'ge', 'l']",2,0.4
131,algoei,N,6,"['al', 'go', 'e', 'i']",3,0.33
132,alhom,N,5,"['al', 'ho', 'm']",2,0.4
133,almeid,N,6,"['al', 'me', 'i', 'd']",3,0.33
134,almes,N,5,"['al', 'mes']",1,0.6
135,alteems,N,7,"['al', 't', 'e', 'e', 'm', 's']",5,0.14
136,altisch,N,7,"['al', 't', 'is', 'ch']",3,0.43
137,alvang,N,6,"['al', 'van', 'g']",2,0.5
138,alve,N,4,"['al', 've']",1,0.5
139,alvier,N,6,"['al', 'vi', 'er']",2,0.5
140,ambtaan,N,7,"['a', 'm', 'b', 't', 'aan']",4,0.29
141,ame,N,3,"['a', 'me']",1,0.33
142,amfer,N,5,"['a', 'm', 'fer']",2,0.4
143,amliep,N,6,"['a', 'm', 'lie', 'p']",3,0.33
144,amme,N,4,"['a', 'm', 'me']",2,0.25
145,ammer,N,5,"['a', 'm', 'mer']",2,0.4
146,amnaan,N,6,"['a', 'm', 'n', 'aan']",3,0.33
147,amoen,N,5,"['a', 'mo', 'en']",2,0.4
