,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['a', '/', 'c']",2,0.0
1,aband,N,5,"['a', 'band']",1,0.6
2,abayed,N,6,"['aba', 'y', 'e', 'd']",3,0.33
3,abbear,N,6,"['a', 'b', 'bear']",2,0.5
4,abbears,N,7,"['a', 'b', 'bear', 's']",3,0.43
5,abbens,N,6,"['a', 'b', 'ben', 's']",3,0.33
6,abchaim,N,7,"['a', 'b', 'ch', 'aim']",3,0.43
7,abects,N,6,"['a', 'be', 'c', 't', 's']",4,0.17
8,abeme,N,5,"['a', 'be', 'me']",2,0.4
9,abents,N,6,"['a', 'bent', 's']",2,0.5
10,abests,N,6,"['a', 'best', 's']",2,0.5
11,abik,N,4,"['a', 'b', 'ik']",2,0.25
12,ablobs,N,6,"['a', 'b', 'lo', 'b', 's']",4,0.17
13,abme,N,4,"['a', 'b', 'me']",2,0.25
14,abne,N,4,"['a', 'b', 'n', 'e']",3,0.0
15,abone,N,5,"['a', 'bon', 'e']",2,0.4
16,abones,N,6,"['a', 'bon', 'e', 's']",3,0.33
17,abow,N,4,"['a', 'bow']",1,0.5
18,abran,N,5,"['a', 'bra', 'n']",2,0.4
19,abrass,N,6,"['a', 'bras', 's']",2,0.5
20,abrast,N,6,"['a', 'bras', 't']",2,0.5
21,abre,N,4,['abre'],0,0.75
22,abreeves,N,8,"['abre', 'eves']",1,0.75
23,abroths,N,7,"['a', 'bro', 'th', 's']",3,0.43
24,abrush,N,6,"['a', 'brush']",1,0.67
25,abscrict,N,8,"['a', 'b', 's', 'cri', 'c', 't']",5,0.25
26,abscue,N,6,"['a', 'b', 's', 'c', 'u', 'e']",5,0.0
27,abscued,N,7,"['a', 'b', 's', 'c', 'u', 'e', 'd']",6,0.0
28,abscusts,N,8,"['a', 'b', 's', 'c', 'u', 's', 't', 's']",7,0.0
29,absians,N,7,"['a', 'b', 's', 'i', 'ans']",4,0.29
30,absidge,N,7,"['a', 'b', 's', 'i', 'd', 'ge']",5,0.14
31,absigned,N,8,"['a', 'b', 'signe', 'd']",3,0.5
