Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Reading_Time,Accuracy
aad,N,3,['aad'],0,0.67,628.03,0.95
aaf,N,3,['aaf'],0,0.67,586.11,1.0
aagst,N,5,"['aag', 'st']",1,0.6,746.65,0.9
aakbeest,N,8,"['aak', 'beest']",1,0.75,600.92,1.0
aakje,N,5,"['aak', 'je']",1,0.6,631.08,0.97
aaks,N,4,"['aak', 's']",1,0.5,623.64,0.97
aakst,N,5,"['aak', 'st']",1,0.6,603.72,1.0
aakwes,N,6,"['aak', 'we', 's']",2,0.5,603.21,1.0
aalde,N,5,['aalde'],0,0.8,708.89,0.95
aalden,N,6,"['aal', 'den']",1,0.67,723.83,0.9
aalder,N,6,"['aal', 'der']",1,0.67,616.25,0.92
aalgees,N,7,"['aal', 'ge', 'es']",2,0.57,632.65,0.97
aanbok,N,6,"['aan', 'bok']",1,0.67,757.44,0.9
aanbol,N,6,"['aan', 'bol']",1,0.67,732.24,0.92
aand,N,4,"['aan', 'd']",1,0.5,597.79,1.0
aandge,N,6,"['aan', 'd', 'ge']",2,0.5,609.87,1.0
aangiep,N,7,"['aan', 'g', 'iep']",2,0.57,709.32,1.0
aankeen,N,7,"['aan', 'k', 'een']",2,0.57,613.69,1.0
aankeerd,N,8,"['aan', 'keerd']",1,0.75,711.68,0.9
aankrast,N,8,"['aan', 'kra', 'st']",2,0.62,738.13,0.92
aankruig,N,8,"['aan', 'kru', 'ig']",2,0.62,667.62,0.97
aannicht,N,8,"['aan', 'nicht']",1,0.75,663.67,0.95
aannorst,N,8,"['aan', 'nor', 'st']",2,0.62,605.54,0.97
aanpijk,N,7,"['aan', 'p', 'ijk']",2,0.57,665.82,0.97
aanplok,N,7,"['aan', 'pl', 'ok']",2,0.57,651.29,1.0
aanpunst,N,8,"['aan', 'pun', 'st']",2,0.62,678.82,0.97
aanrof,N,6,"['aan', 'rof']",1,0.67,650.0,0.92
aanrus,N,6,"['aan', 'rus']",1,0.67,676.21,1.0
aans,N,4,['aans'],0,0.75,664.76,0.97
aanschijk,N,9,"['aan', 'sch', 'ijk']",2,0.67,719.69,0.92
aanschuw,N,8,"['aan', 'schuw']",1,0.75,821.53,0.51
aanstaam,N,8,"['aan', 'st', 'aam']",2,0.62,759.37,0.92
aanveeldt,N,9,"['aan', 've', 'eld', 't']",3,0.56,650.22,0.97
aanweer,N,7,"['aan', 'weer']",1,0.71,744.73,0.67
aanwid,N,6,"['aan', 'w', 'id']",2,0.5,675.67,0.95
aarbracht,N,9,"['aar', 'bracht']",1,0.78,721.68,0.9
aarbrang,N,8,"['aar', 'br', 'ang']",2,0.62,654.41,1.0
aardgoo,N,7,"['aard', 'goo']",1,0.71,602.69,1.0
