,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['a', '/', 'c']",2,0.0
1,aband,N,5,"['ab', 'and']",1,0.6
2,abayed,N,6,"['ab', 'ay', 'ed']",2,0.5
3,abbear,N,6,"['ab', 'be', 'ar']",2,0.5
4,abbears,N,7,"['ab', 'be', 'ars']",2,0.57
5,abbens,N,6,"['ab', 'b', 'ens']",2,0.5
6,abchaim,N,7,"['ab', 'ch', 'aim']",2,0.57
7,abects,N,6,"['a', 'be', 'ct', 's']",3,0.33
8,abeme,N,5,"['a', 'be', 'me']",2,0.4
9,abents,N,6,"['ab', 'ents']",1,0.67
10,abests,N,6,"['a', 'best', 's']",2,0.5
11,abik,N,4,"['ab', 'ik']",1,0.5
12,ablobs,N,6,"['ab', 'lo', 'bs']",2,0.5
13,abme,N,4,"['ab', 'me']",1,0.5
14,abne,N,4,"['ab', 'ne']",1,0.5
15,abone,N,5,"['ab', 'one']",1,0.6
16,abones,N,6,"['ab', 'ones']",1,0.67
17,abow,N,4,"['ab', 'ow']",1,0.5
18,abran,N,5,"['ab', 'ran']",1,0.6
19,abrass,N,6,"['ab', 'r', 'ass']",2,0.5
20,abrast,N,6,"['ab', 'r', 'ast']",2,0.5
21,abre,N,4,"['ab', 're']",1,0.5
22,abreeves,N,8,"['ab', 're', 'ev', 'es']",3,0.5
23,abroths,N,7,"['ab', 'ro', 'th', 's']",3,0.43
24,abrush,N,6,"['ab', 'rush']",1,0.67
25,abscrict,N,8,"['ab', 'scr', 'ict']",2,0.62
26,abscue,N,6,"['ab', 'sc', 'ue']",2,0.5
27,abscued,N,7,"['ab', 'sc', 'ued']",2,0.57
28,abscusts,N,8,"['ab', 'sc', 'ust', 's']",3,0.5
29,absians,N,7,"['abs', 'ians']",1,0.71
30,absidge,N,7,"['abs', 'idge']",1,0.71
31,absigned,N,8,"['ab', 'signed']",1,0.75
32,absincts,N,8,"['abs', 'in', 'ct', 's']",3,0.5
33,absipsed,N,8,"['abs', 'ip', 'sed']",2,0.62
34,absirl,N,6,"['abs', 'ir', 'l']",2,0.5
