,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,aad,N,3,"['a', '##ad']",1,0.33
1,aaf,N,3,"['a', '##af']",1,0.33
2,aagst,N,5,"['a', '##ags', '##t']",2,0.4
3,aakbeest,N,8,"['a', '##ak', '##bee', '##st']",3,0.5
4,aakje,N,5,"['a', '##ak', '##je']",2,0.4
5,aaks,N,4,"['a', '##aks']",1,0.5
6,aakst,N,5,"['a', '##aks', '##t']",2,0.4
7,aakwes,N,6,"['a', '##ak', '##we', '##s']",3,0.33
8,aalde,N,5,"['a', '##alde']",1,0.6
9,aalden,N,6,"['a', '##alde', '##n']",2,0.5
10,aalder,N,6,"['a', '##alde', '##r']",2,0.5
11,aalgees,N,7,"['a', '##alg', '##ees']",2,0.57
12,aanbok,N,6,"['aanb', '##ok']",1,0.67
13,aanbol,N,6,"['aanb', '##ol']",1,0.67
14,aand,N,4,['aand'],0,0.75
15,aandge,N,6,"['aand', '##ge']",1,0.67
16,aangiep,N,7,"['aang', '##iep']",1,0.71
17,aankeen,N,7,"['aank', '##een']",1,0.71
18,aankeerd,N,8,"['aank', '##eerd']",1,0.75
19,aankrast,N,8,"['aank', '##ras', '##t']",2,0.62
20,aankruig,N,8,"['aank', '##rui', '##g']",2,0.62
21,aannicht,N,8,"['aan', '##nic', '##ht']",2,0.62
22,aannorst,N,8,"['aan', '##no', '##rs', '##t']",3,0.5
23,aanpijk,N,7,"['aanp', '##ijk']",1,0.71
24,aanplok,N,7,"['aanp', '##lok']",1,0.71
25,aanpunst,N,8,"['aanp', '##unst']",1,0.75
26,aanrof,N,6,"['aan', '##rof']",1,0.67
27,aanrus,N,6,"['aan', '##rus']",1,0.67
28,aans,N,4,['aans'],0,0.75
29,aanschijk,N,9,"['aansch', '##ijk']",1,0.78
30,aanschuw,N,8,"['aansch', '##uw']",1,0.75
31,aanstaam,N,8,"['aanst', '##aam']",1,0.75
32,aanveeldt,N,9,"['aanv', '##eel', '##dt']",2,0.67
33,aanweer,N,7,"['aanwe', '##er']",1,0.71
34,aanwid,N,6,"['aan', '##wi', '##d']",2,0.5
35,aarbracht,N,9,"['a', '##ar', '##bracht']",2,0.67
36,aarbrang,N,8,"['a', '##ar', '##bran', '##g']",3,0.5
37,aardgoo,N,7,"['aard', '##go', '##o']",2,0.57
38,aardkil,N,7,"['aard', '##ki', '##l']",2,0.57
39,aardraan,N,8,"['aard', '##ra', '##an']",2,0.62
40,aardsomst,N,9,"['aard', '##s', '##omst']",2,0.67
41,aargrift,N,8,"['a', '##arg', '##ri', '##ft']",3,0.5
42,aarhoop,N,7,"['a', '##ar', '##hoop']",2,0.57
43,aarjang,N,7,"['a', '##ar', '##jan', '##g']",3,0.43
44,aarlang,N,7,"['a', '##arla', '##ng']",2,0.57
45,aarnert,N,7,"['a', '##arn', '##ert']",2,0.57
46,aarplag,N,7,"['a', '##arp', '##lag']",2,0.57
47,aarriens,N,8,"['a', '##arr', '##iens']",2,0.62
48,aarschaans,N,10,"['a', '##ars', '##cha', '##ans']",3,0.6
49,aarschein,N,9,"['a', '##ars', '##che', '##in']",3,0.56
50,aarsien,N,7,"['a', '##ars', '##ien']",2,0.57
51,aarst,N,5,"['a', '##ars', '##t']",2,0.4
52,aarstands,N,9,"['a', '##ars', '##ta', '##nd', '##s']",4,0.44
53,aartol,N,6,"['a', '##arto', '##l']",2,0.5
54,aarwel,N,6,"['a', '##ar', '##wel']",2,0.5
