,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,aad,N,3,"['a', 'a', 'd']",2,0.0
1,aaf,N,3,"['a', 'af']",1,0.33
2,aagst,N,5,"['a', 'ag', 's', 't']",3,0.2
3,aakbeest,N,8,"['aak', 'be', 'est']",2,0.62
4,aakje,N,5,"['aak', 'je']",1,0.6
5,aaks,N,4,"['aak', 's']",1,0.5
6,aakst,N,5,"['aak', 's', 't']",2,0.4
7,aakwes,N,6,"['aak', 'we', 's']",2,0.5
8,aalde,N,5,"['aal', 'de']",1,0.6
9,aalden,N,6,"['aal', 'd', 'en']",2,0.5
10,aalder,N,6,"['aal', 'der']",1,0.67
11,aalgees,N,7,"['aal', 'ge', 'e', 's']",3,0.43
12,aanbok,N,6,"['aan', 'bo', 'k']",2,0.5
13,aanbol,N,6,"['aan', 'bo', 'l']",2,0.5
14,aand,N,4,"['aan', 'd']",1,0.5
15,aandge,N,6,"['aan', 'd', 'ge']",2,0.5
16,aangiep,N,7,"['aan', 'g', 'ie', 'p']",3,0.43
17,aankeen,N,7,"['aan', 'k', 'een']",2,0.57
18,aankeerd,N,8,"['aan', 'keer', 'd']",2,0.62
19,aankrast,N,8,"['aan', 'k', 'ra', 's', 't']",4,0.38
20,aankruig,N,8,"['aan', 'k', 'ru', 'ig']",3,0.5
21,aannicht,N,8,"['aan', 'n', 'i', 'ch', 't']",4,0.38
22,aannorst,N,8,"['aan', 'n', 'or', 's', 't']",4,0.38
23,aanpijk,N,7,"['aan', 'p', 'ij', 'k']",3,0.43
24,aanplok,N,7,"['aan', 'p', 'lo', 'k']",3,0.43
25,aanpunst,N,8,"['aan', 'p', 'u', 'n', 's', 't']",5,0.25
26,aanrof,N,6,"['aan', 'r', 'of']",2,0.5
27,aanrus,N,6,"['aan', 'ru', 's']",2,0.5
28,aans,N,4,"['aan', 's']",1,0.5
29,aanschijk,N,9,"['aan', 'sch', 'ij', 'k']",3,0.56
30,aanschuw,N,8,"['aan', 'sch', 'uw']",2,0.62
31,aanstaam,N,8,"['aan', 'sta', 'am']",2,0.62
32,aanveeldt,N,9,"['aan', 'veel', 'd', 't']",3,0.56
33,aanweer,N,7,"['aan', 'weer']",1,0.71
34,aanwid,N,6,"['aan', 'w', 'i', 'd']",3,0.33
35,aarbracht,N,9,"['aar', 'b', 'r', 'acht']",3,0.56
36,aarbrang,N,8,"['aar', 'b', 'ra', 'n', 'g']",4,0.38
37,aardgoo,N,7,"['aard', 'go', 'o']",2,0.57
38,aardkil,N,7,"['aard', 'k', 'il']",2,0.57
39,aardraan,N,8,"['aard', 'r', 'aan']",2,0.62
40,aardsomst,N,9,"['aard', 's', 'om', 's', 't']",4,0.44
41,aargrift,N,8,"['aar', 'g', 'ri', 'f', 't']",4,0.38
42,aarhoop,N,7,"['aar', 'ho', 'op']",2,0.57
43,aarjang,N,7,"['aar', 'ja', 'n', 'g']",3,0.43
44,aarlang,N,7,"['aar', 'lang']",1,0.71
45,aarnert,N,7,"['aar', 'n', 'er', 't']",3,0.43
46,aarplag,N,7,"['aar', 'p', 'lag']",2,0.57
47,aarriens,N,8,"['aar', 'ri', 'en', 's']",3,0.5
48,aarschaans,N,10,"['aar', 'sch', 'aan', 's']",3,0.6
49,aarschein,N,9,"['aar', 'sch', 'e', 'in']",3,0.56
50,aarsien,N,7,"['aar', 's', 'i', 'en']",3,0.43
51,aarst,N,5,"['aar', 's', 't']",2,0.4
52,aarstands,N,9,"['aar', 'stand', 's']",2,0.67
53,aartol,N,6,"['aar', 't', 'ol']",2,0.5
54,aarwel,N,6,"['aar', 'wel']",1,0.67
55,aarwouw,N,7,"['aar', 'w', 'o', 'uw']",3,0.43
56,aat,N,3,['aat'],0,0.67
57,aatslas,N,7,"['aat', 's', 'la', 's']",3,0.43
58,ab,N,2,"['a', 'b']",1,0.0
59,abant,N,5,"['a', 'b', 'an', 't']",3,0.2
60,abbes,N,5,"['a', 'b', 'be', 's']",3,0.2
61,abdent,N,6,"['a', 'b', 'd', 'en', 't']",4,0.17
62,abert,N,5,"['a', 'ber', 't']",2,0.4
63,abras,N,5,"['a', 'b', 'ra', 's']",3,0.2
64,abree,N,5,"['a', 'b', 'r', 'e', 'e']",4,0.0
