,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['a', '/', 'c']",2,0.0
1,aband,N,5,"['ab', '##and']",1,0.6
2,abayed,N,6,"['ab', '##ay', '##ed']",2,0.5
3,abbear,N,6,"['ab', '##be', '##ar']",2,0.5
4,abbears,N,7,"['ab', '##be', '##ars']",2,0.57
5,abbens,N,6,"['ab', '##be', '##n', '##s']",3,0.33
6,abchaim,N,7,"['ab', '##ch', '##aim']",2,0.57
7,abects,N,6,"['ab', '##ects']",1,0.67
8,abeme,N,5,"['ab', '##em', '##e']",2,0.4
9,abents,N,6,"['ab', '##ents']",1,0.67
10,abests,N,6,"['ab', '##ests']",1,0.67
11,abik,N,4,"['ab', '##ik']",1,0.5
12,ablobs,N,6,"['ab', '##l', '##ob', '##s']",3,0.33
13,abme,N,4,"['ab', '##me']",1,0.5
14,abne,N,4,"['ab', '##ne']",1,0.5
15,abone,N,5,"['ab', '##one']",1,0.6
16,abones,N,6,"['ab', '##ones']",1,0.67
17,abow,N,4,"['ab', '##ow']",1,0.5
18,abran,N,5,"['ab', '##ra', '##n']",2,0.4
19,abrass,N,6,"['ab', '##ra', '##s', '##s']",3,0.33
20,abrast,N,6,"['ab', '##ra', '##st']",2,0.5
21,abre,N,4,"['ab', '##re']",1,0.5
22,abreeves,N,8,"['ab', '##ree', '##ves']",2,0.62
23,abroths,N,7,"['ab', '##ro', '##th', '##s']",3,0.43
24,abrush,N,6,"['ab', '##ru', '##sh']",2,0.5
25,abscrict,N,8,"['abs', '##cr', '##ict']",2,0.62
26,abscue,N,6,"['abs', '##c', '##ue']",2,0.5
27,abscued,N,7,"['abs', '##c', '##ued']",2,0.57
28,abscusts,N,8,"['abs', '##c', '##ust', '##s']",3,0.5
29,absians,N,7,"['abs', '##ians']",1,0.71
30,absidge,N,7,"['abs', '##idge']",1,0.71
31,absigned,N,8,"['abs', '##igned']",1,0.75
32,absincts,N,8,"['abs', '##inc', '##ts']",2,0.62
33,absipsed,N,8,"['abs', '##ips', '##ed']",2,0.62
